Country name;Country Code;Indicator Name;Indicator Code;Year;Value
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;14,6082794090715
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1995;14,2691091356781
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1996;14,1325748800858
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1997;14,1024568395325
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1998;14,1881618255215
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1999;14,3418242215618
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2000;14,3597516435127
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2001;14,3065361012173
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2002;14,3077457951371
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2003;14,3333831834604
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2004;14,0789653596733
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2005;13,8670810011358
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2006;13,7106030566701
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2007;13,5960822698129
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2008;13,5536457701835
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2009;13,7769484603299
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2010;15,0813657169976
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2011;14,4882441675195
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2012;14,2867769221896
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2013;14,0493314814868
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2014;13,8719019853461
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2015;13,6103334619827
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2016;13,7231809291834
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2017;13,7045185870745
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2018;13,5535603942399
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2019;13,8773018827563
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2020;14,7464922387103
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2021;14,8379368405289
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2022;13,960495981224
Africa Eastern and Southern;AFE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2023;14,1339703736452
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;10,2
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;10,195
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;10,2
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;10,204
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1995;10,204
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1996;10,201
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1997;10,204
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1998;10,214
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1999;10,219
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2000;10,221
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2001;10,217
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2002;10,206
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2003;10,194
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2004;10,184
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2005;10,176
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2006;10,177
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2007;10,172
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2008;10,165
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2009;10,148
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2010;10,133
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2011;10,115
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2012;10,098
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2013;10,092
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2014;10,086
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2015;12,507
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2016;14,909
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2017;17,303
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2018;16,547
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2019;15,776
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2020;16,053
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2021;16,506
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2022;17,841
Afghanistan;AFG;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2023;19,798
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;8,53235492294535
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;8,66241421434831
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;8,93130586194876
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;8,98518317453534
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1995;9,0134784720736
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1996;8,86667823762916
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1997;8,79056040758247
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1998;8,79905036030762
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1999;9,14303147339295
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2000;9,20894518636789
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2001;9,10743977382455
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2002;8,74548706204847
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2003;8,64800131527021
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2004;8,56369610293838
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2005;8,71113585290719
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2006;8,60097925038727
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2007;8,58480037012622
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2008;8,60412364440311
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2009;8,64417528940677
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2010;8,6065858190215
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2011;8,54068531886329
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2012;8,53801837517405
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2013;8,09224781475279
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2014;8,35138133209751
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2015;8,78986330335043
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2016;8,76794289807589
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2017;8,96086139913426
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2018;9,06420801686132
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2019;9,11404174989182
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2020;9,59693780550276
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2021;8,27495124669487
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2022;6,64833340866481
Africa Western and Central;AFW;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2023;6,54580157981713
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;38,671
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;39,088
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;40,357
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;40,411
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1995;39,251
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1996;37,175
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1997;36,845
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1998;37,377
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1999;37,993
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2000;38,241
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2001;38,229
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2002;37,592
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2003;37,608
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2004;37,28
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2005;37,254
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2006;36,79
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2007;36,649
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2008;36,897
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2009;37,54
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2010;38,142
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2011;38,553
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2012;37,211
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2013;36,3
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2014;35,327
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2015;34,795
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2016;34,236
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2017;33,529
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2018;32,682
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2019;31,644
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2020;32,498
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2021;29,991
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2022;28,009
Angola;AGO;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2023;27,628
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;16,118
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;47,025
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;39,741
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;32,963
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1995;23,234
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1996;22,202
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1997;26,893
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1998;32,033
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1999;33,374
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2000;30,557
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2001;29,893
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2002;28,809
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2003;27,531
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2004;26,605
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2005;26,231
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2006;25,858
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2007;26,622
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2008;26,553
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2009;27,324
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2010;30,885
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2011;22,733
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2012;28,987
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2013;31,318
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2014;39,744
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2015;39,874
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2016;36,172
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2017;31,403
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2018;28,305
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2019;27,161
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2020;30,756
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2021;29,691
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2022;28,2
Albania;ALB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2023;26,94
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1995;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1996;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1997;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1998;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1999;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2000;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2001;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2002;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2003;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2004;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2005;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2006;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2007;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2008;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2009;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2010;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2011;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2012;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2013;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2014;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2015;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2016;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2017;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2018;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2019;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2020;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2021;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2022;
Andorra;AND;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2023;
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;24,9160585601486
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;25,1965791227309
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;26,9335294861194
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;27,1625551832609
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1995;27,7842509300419
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1996;25,6726845485797
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1997;24,6526615845193
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1998;24,6190526462052
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1999;24,3354791263675
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2000;26,1158216447625
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2001;26,7145785493886
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2002;26,5476803174348
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2003;27,1257678859856
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2004;25,7549865054036
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2005;26,1182699794944
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2006;25,1505046908158
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2007;23,8534311805312
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2008;23,938676578486
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2009;22,7147429216904
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2010;23,2944098011553
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2011;25,4090212601855
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2012;27,8257921276805
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2013;28,0137567383175
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2014;27,9185738135095
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2015;29,5546772423286
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2016;29,2333837396884
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2017;30,3332813066848
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2018;29,0768093478285
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2019;27,8435278764833
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2020;30,2974177419441
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2021;29,3895066563227
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2022;27,0604542858278
Arab World;ARB;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);2023;27,3683461618983
United Arab Emirates;ARE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1991;3,917
United Arab Emirates;ARE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1992;4,027
United Arab Emirates;ARE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1993;4,23
United Arab Emirates;ARE;Unemployment; youth total (% of total labor force ages 15-24) (modeled ILO estimate);1994;4,243
